Fund Name,Website,Short Description,Status,
Access EIS,accesseis.com,"Tracks and invests in private deals alongside top UK angel investors, covering all stages and sectors.",Applied but we didn't meet their 500k criteria,
Amadeus,amadeuscapital.com,"The early-stage EIS fund invests in UK technology companies, including at the Pre-seed stage.",Applied,
Anthemis,anthemis.com,Focuses on early to late-stage fintech companies that are creating positive change.,Applied,
Ascension,ascension.vc,"Concentrates on early-stage technology companies, especially those in their first or second funding round.",Applied (didnt get confirmation email),
Augmentum,augmentum.vc,"Invests in fintech companies across Europe, typically at Series A and later stages.",Applied,
Better Ventures,better.vc,"Backs science and technology startups aligned with the UN's Sustainable Development Goals, focusing on Pre-seed and Seed.",Applied,
Calculus Capital,calculuscapital.com,"A pioneer of the scheme, having created the first approved EIS fund. Invests across all sectors and stages.",Applied,
Committed Capital,committedcapital.co.uk,"Invests in post-revenue (£1M+) UK technology companies, usually from Series A onwards.",Applied,
Jenson Funding Partners,jensonfundingpartners.com,"A multi-sector fund that invests in startups at all stages, from Pre-seed to late stage.",Applied,
Concept Ventures,conceptventures.vc,"The largest dedicated UK Pre-seed fund, investing across sectors with follow-on funding available.",Applied,
Downing,downing.co.uk,"Backs startups making a positive impact in renewable energy, infrastructure, property, and healthcare at all stages.",Applied,
Endeavour Ventures,endeavourventures.com,A multi-sector fund that invests in tech companies at every funding stage.,Applied,
Force Over Mass,fomcap.com,"Focuses on B2B tech companies in AI, fintech, and Industry 4.0, investing from early stage to Series B.",Applied,
Fuel Ventures,fuel.ventures,"One of the most active VCs in the UK, investing in tech companies from Pre-seed to Series A.",Applied,
Guinness Ventures,guinness-ventures.com,"A global, multi-sector fund that provides early-stage capital from Seed to Series A.",Appled (it was so long),
Haatch,haatch.com,"A highly active fund, especially for Pre-seed capital, investing across sectors and stages.",Applied,
Hambro Perks,hambroperks.com,"Invests internationally in technology and finance companies, from Seed to Series A.",Applied,
Impact Ventures,impactventure.com/,"Backs sustainable companies using technology to solve social and environmental problems, mainly at a late stage.",Applied,
IW Capital,iwcapital.co.uk,Invests in later-stage UK SMEs with strong management teams that are ready to scale.,Appled ,
Martlet Capital,martletcap.com,"Invests in early-stage deeptech and life sciences B2B companies, with a primary focus on the Cambridge area.",Applied,
Maven,mavencp.com,"Invests in companies across sectors at any funding stage, with valuations from £4M to £40M.",Applied,
Mercia,mercia.co.uk,"Invests in tech companies across various sectors, from early to later stages.",Applied,
MMC,mmc.vc,"A tech-focused investor with a particular interest in AI and blockchain, investing at Seed and Series A.",Applied,
Deepbridge Capital,deepbridgecapital.com,"Invests from Seed to later stages in technology, life sciences, and renewable energy companies.",Applied,
Newable,newable.co.uk,"Focuses on early-stage UK businesses in medtech, AI, space, and robotics, for investments over £500k.",Messaged,
Northzone,northzone.com,"Invests in companies across sectors in the UK, Europe, and the US at both early and late stages.",Emailed,
Octopus Ventures,octopusventures.com,"A very active fund investing over £200M a year in health, fintech, deeptech, consumer, and B2B software.",,
Oxford Technology,oxfordtechnology.com,"The firm's EIS fund invests in companies across sectors, from early stage and beyond.",,
Parkwalk,parkwalkadvisors.com,"The UK’s most active investor in the university spin-out sector, focusing on science and tech.",,
Praetura,praeturaventures.com,"Invests in companies across various sectors, from early to late stage.",,
Redline,redline.vc,A global tech investor backing companies in various sectors at any stage of funding.,,
Rockpool,rockpool.uk.com,"Invests in profitable, later-stage companies with annual revenues of £5M to £30M.",,
Samaipata,samaipata.vc,Focuses on early-stage digital platforms across various sectors.,,
SFC Capital,sfccapital.com,"One of the most active VCs in the UK, investing in startups across sectors and stages.",,
SidebySide,sidebyside.co,The SidebySide EIS Fund invests in more established tech companies generating £1-10M in revenue.,,
Speedinvest,speedinvest.com,"Backs companies in deeptech, fintech, health, SaaS, and e-commerce at both early and late stages.",,
SuperSeed,superseed.com,Focuses on investing in early-stage B2B software companies.,,
Sustainable Ventures,sustainableventures.co.uk,Invests in early-stage tech companies addressing climate change and resource scarcity.,,
Symvan Capital,symvancapital.com,"Invests in early-stage tech companies, with a focus on the UK and Nordic markets.",,
Truesight,truesight.vc,"Invests in early-stage European and UK tech companies, with a focus on the UK and Nordic markets.",,
Growthdeck,growthdeck.com,"An equity investment platform that offers a portfolio service of direct EIS investments in established, scaling UK businesses. They focus on data-driven due diligence.",,
Par Equity,parequity.com,"An award-winning venture capital firm that invests in innovative, high-growth technology companies. They focus on B2B tech in Northern UK and Scotland.",,
Vala Capital,valacap.com,"A venture capital firm that provides SEIS and EIS funds. They focus on sustainability and innovation, backing purpose-driven founders.",,
Seneca Partners,senecapartners.co.uk,"Offers an EIS portfolio service investing in a diversified range of growth-stage SMEs across the UK. They often focus on more established, later-stage businesses.",Emailed ,
Blackfinch Ventures,blackfinch.com,"An SEIS & EIS fund that invests in innovative technology and tech-enabled companies at the start of their growth journey, often with a regional focus outside of London.",Emailed ,
Puma Investments,pumainvestments.co.uk,"Offers a range of tax-efficient investments, including Puma Alpha EIS. They invest in established, growing SMEs across various sectors with a focus on capital preservation.",Emailed,
Nova Growth Capital,novagrowthcapital.co.uk,"An SEIS & EIS fund that acts as a co-foundry, investing in and supporting early-stage tech startups. They provide both capital and hands-on support.",Emailed,
Episode 1,https://www.episode1.com/,They invest very early stage apparently. ,,
Get investor ready,,,,
,,,,
,,,,
Phase,Action / Process,Key Focus for nsso / What it Means for You,Leverage for nsso,Additional Advice
2. Due Diligence (DD),Set Up Virtual Data Room,The fund will request access to a secure digital folder containing all key company information.,Your focus is on being meticulously organised. This is your chance to make a strong first impression of professionalism and preparedness., A well-structured data room that preemptively answers questions tells a story. Use it to reinforce your narrative of clarity and cohesion.
,Commercial DD: Market Analysis,The fund will validate your market size claims and the fundamental need for your product.,You need to prove that the problem you're solving—digital identity fragmentation—is a significant and growing pain point.," Frame nsso within the booming creator economy and the future of work. Use stats on the rise of solopreneurship and personal branding as proof of a massive, growing market."
,Commercial DD: Competitive Landscape,"They will analyze your direct and indirect competitors (e.g., Linktree, Beacons, personal website builders).",Your focus must be on clearly articulating how nsso is fundamentally different and not just an incremental improvement.," Leverage your unique synergy. Frame competitors as simple ""lists of links,"" while nsso is a dynamic ""identity platform"" that integrates a portfolio (EXP) and e-commerce (EMPORIUM), placing you in a new, more valuable category."
,Commercial DD: GTM & User Acquisition,They will scrutinise your strategy for attracting and retaining users.,"The focus is on demonstrating a clear, cost-effective plan to acquire the right kind of users who will become advocates for the platform."," Highlight your exclusive, curated approach. The fact that you ""exclusively vet all of them"" creates a premium, high-quality network, which is a powerful differentiator that can lead to strong network effects and justify higher user lifetime value."
,Technical DD: Product Demo,"You will give a full, in-depth demonstration of the nsso platform, walking through the user journey and key features.","The goal is to show that the product is not just an idea but a functional, well-designed platform that delivers on its promises."," Focus on the ""most beautiful way to present yourself online."" The glassmorphic design and slick UX are tangible assets. Show how nsso makes users feel ""clear, but proud, of who you are."""
,Technical DD: Architecture Review,"Their tech team may review your architecture for scalability, security, and quality.","You must demonstrate that the technology is robust, secure, and capable of supporting future growth and features."," Mention the vision for future-proofing, including the potential for Web3 integration where users can ""own via WEB3."" This shows forward-thinking and a larger technical vision beyond a simple web app."
,Financial DD: Financial Model Scrutiny,"The fund will meticulously analyze your Excel model, stress-testing every assumption about user growth, pricing, and costs.",Your focus is on defending your assumptions with logic and data. Show the 'why' behind the 'what' in your financial projections.," Your model is stronger because it has multiple potential revenue streams: premium subscriptions for advanced features, and transaction fees from the EMPORIUM section. This diversification is highly attractive."
,Legal DD: Corporate & IP Review,"The fund's lawyers will check that Coodeh Ltd. is properly incorporated, owns all nsso IP, and has no outstanding legal issues.","The goal is to prove the company is ""clean"" and that an investment in it is legally sound, without hidden liabilities."," Your EIS Advance Assurance letter is your trump card. It proves you've already passed a level of HMRC scrutiny and are a well-prepared, tax-efficient investment vehicle."
,Team DD: Founder & Key Person Interviews,"The partners will conduct deep interviews with you and any key team members to assess expertise, resilience, and vision.",The focus is on demonstrating that you are the right person to lead this company and that you have the determination to succeed.," Your passion and the clear, consistent mission articulated in your pitch documents are your greatest assets. They are investing in your ability to ""evolve identity"" and help people ""find their place."""
3. Approval & Terms,Investment Committee (IC) Presentation,"The Partner championing you will present nsso to the IC, which makes the final investment decision.",Your job is to equip your internal champion with everything they need to successfully argue your case on your behalf.," Provide your champion with a concise summary, key metrics, and a powerful vision statement. A short video demo can also be a powerful tool for the IC meeting."
,Receive & Review the Term Sheet,"You will receive the official, non-binding Term Sheet outlining the core investment terms from the fund.",Your immediate focus is to read the document carefully and identify the key economic and control terms. This is a major milestone.," A strong performance during DD and a compelling vision give you leverage. If multiple funds are interested, you'll have even more negotiating power on the valuation."
,Assemble Your Deal Team,You formally engage your lawyer and any advisors to review the Term Sheet. Do not do this alone.,"The focus is on getting expert advice on what is ""market standard"" and understanding the long-term implications of each clause.", A professional legal team signals that you are a serious founder and helps you negotiate from a position of knowledge and strength.
,Negotiate Economic Terms,"With your lawyer, you will negotiate the key financial terms: valuation, investment amount, and the size of the employee option pool.","The goal is to agree on a valuation that is fair, funds the company adequately, and is not overly dilutive to you and the existing team.", Your detailed financial model and clear GTM strategy are your main tools here. Use them to justify your valuation and funding request.
